agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|nalu_nat2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|prom_nat2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|dif_nat2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|difgru_nat2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|sigdif_nat2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|siggru_nat2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marca_nat2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|marcadif_nat2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica|fecha_bbdd|codigo_bbdd
2018|2m|1|9|LICEO POLITECNICO ARICA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|1|1|52|52|59|205|205|198|-1|7|0|-23|-23|-21|0|0|0|-1|-1|-1||||||3|86.5|11.5|1.9|92.3|7.7|0|0|20190628|final20190628v1
2018|2m|4|3|LICEO OCTAVIO PALMA PEREZ|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|2|1|188|180|196|269|286|252|9|12|5|26|36|19|0|1|0|1|1|1|||||||31.9|35.6|32.4|25|47.8|27.2|0|20190628|final20190628v1
2018|2m|5|1|JOVINA NARANJO FERNANDEZ|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|2|1|125|125|131|265|274|261|-4|-40|13|22|24|28|0|-1|1|1|1|1|||||||33.6|43.2|23.2|27.2|58.4|14.4|0|20190628|final20190628v1
2018|2m|7|8|L. POLI. ANTONIO VARAS DE LA BARRA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|1|1|245|240|254|218|222|209|-8|9|1|-10|-6|-10|0|0|0|-1|-1|-1|||||||78.4|16.3|5.3|76.3|22.1|1.7|0|20190628|final20190628v1
2018|2m|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|2|1|64|62|69|236|225|217|20|-21|8|-7|-25|-16|1|-1|0|-1|-1|-1|||||||65.6|25|9.4|75.8|22.6|1.6|0|20190628|final20190628v1
2018|2m|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|2|1|9|14|14|223|233|210|-7|9|0|-20|-17|-23|0|0|0|-1|0|-1||||3|3|3||||71.4|28.6|0|0|20190628|final20190628v1
2018|2m|25|6|COLEGIO CENTENARIO DE ARICA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|2|1|29|31|34|234|241|231|5|34|11|-9|-9|-2|0|1|0|0|0|0|||||||65.5|27.6|6.9|67.7|25.8|6.5|0|20190628|final20190628v1
2018|2m|32|9|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|2|1|1|2|35|35|35|218|215|208|-13|-18|-5|-10|-13|-11|0|0|0|-1|-1|-1|||||||82.9|14.3|2.9|85.7|14.3|0|0|20190628|final20190628v1
2018|2m|45|0|COLEGIO ITALIANO SANTA ANA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|3|2|3|1|58|60|62|271|298|262|-1|8|15|12|17|7|0|0|1|1|1|1|||||||27.6|41.4|31|20|43.3|36.7|0|20190628|final20190628v1
2018|2m|50|7|COLEGIO ADVENTISTA DE ARICA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|3|2|3|1|41|41|42|271|306|255|-5|8|-1|12|25|0|0|0|0|1|1|0|||||||24.4|43.9|31.7|19.5|34.1|46.3|0|20190628|final20190628v1
